condensor_pressure(atm),reboiler(pot)_heat_duty(Watt),reflux_ratio,input_mass_fraction_of_acetic_acid,pot_pressure(atm),daily_work(min),produced_acetic_acid_mass_fraction,reboiler(pot)_temperature(C),condensor_temperature(C),upper_product_flow_rate(kg/hr),condensor_mass_flow_outlet_rate,fraction_over_pressure,duty_over_frac_multiplyed_by_pressure,reboiler_temp_on_flowrate,condensor_temp_on_flowrate,upper_product_precent,aceticindutyoverflow,refluxin_pot_devidedby_cond_temp,daily_work_multip_duty,order,order,atmosphere_pressure(kpa)
0.1,466.7,11,0.99,0.198692327,546.244,1,72.83839837,56.27378804,0.352350381,4.22820457,10,4667,206.7214975,159.7097409,100,1324.533832,9.886687243,254932.0748,6.4,6,10.1325
0.1,466.7,11.2,0.99,0.198692327,554.902,1,72.83862846,56.27378653,0.346582993,4.228312514,10,4667,210.1621543,162.3674204,100,1346.575018,9.912216154,258972.7634,6.4,6,10.1325
0.1,466.7,11.4,0.99,0.198692327,563.561,1,72.83864046,56.27378507,0.340951965,4.227804364,10,4667,213.6331447,165.0490124,100,1368.81452,9.937086537,263013.9187,6.4,6,10.1325
0.1,466.7,11.6,0.99,0.198692327,572.219,1,72.83858523,56.27378368,0.335481104,4.227061914,10,4667,217.1168042,167.7405462,100,1391.136472,9.961485614,267054.6073,6.4,6,10.1325
0.1,466.7,11.8,0.99,0.198692327,580.877,1,72.8386452,56.27378237,0.330215576,4.22675937,10,4667,220.5790718,170.4152878,100,1413.31916,9.985436841,271095.2959,6.4,6,10.1325
0.1,466.7,12,0.99,0.198692327,589.535,1,72.8385526,56.27378237,0.325121234,4.226576045,10,4667,224.035052,173.0855338,100,1435.464531,10.00894639,275135.9845,6.1,6,10.1325
0.1,466.7,12.2,0.99,0.198692327,598.193,1,72.83864327,56.27377992,0.320147735,4.225950107,10,4667,227.5157224,175.774412,100,1457.76449,10.03204177,279176.6731,6.4,6,10.1325
0.1,466.7,12.4,0.99,0.198692327,606.851,1,72.83849066,56.27377877,0.315324015,4.2253418,10,4667,230.9956972,178.463346,100,1480.064879,10.05455926,283217.3617,6.4,6,10.1325
0.1,466.7,12.6,0.99,0.198692327,615.51,1,72.83863291,56.2737777,0.310677982,4.22522055,10,4667,234.4505798,181.1321723,100,1502.198507,10.07701938,287258.517,6.4,6,10.1325
0.1,466.7,12.8,0.99,0.198692327,624.168,1,72.83845051,56.27377664,0.306161251,4.225025268,10,4667,237.9087823,183.8043724,100,1524.360114,10.09876331,291299.2056,6.4,6,10.1325
0.1,466.7,13,0.99,0.198692327,632.826,1,72.83860773,56.27377567,0.301740056,4.224360778,10,4667,241.3952221,186.497532,100,1546.695546,10.12047606,295339.8942,6.4,6,10.1325
0.2,466.7,0.2,0.99,0.298692327,79.2202,0.993684,82.93661433,72.57669909,3.691861162,4.430233394,4.96842,2348.332065,22.46471649,19.65856675,99.3684,125.6147787,1.122352886,36972.06734,2.2,2,20.265
0.2,466.7,0.4,0.99,0.298692327,87.8112,0.994534,82.97751764,72.56710694,3.141314436,4.39784021,4.97267,2346.325013,26.41490348,23.10087335,99.4534,147.7563062,3.396771513,40981.48704,2.3,2,20.265
0.2,466.7,0.6,0.99,0.298692327,96.3787,0.995572,83.01200971,72.5486054,2.735481953,4.376771125,4.97786,2343.878695,30.34639275,26.52132482,99.5572,169.8543293,4.357469076,44979.93929,2.4,2,20.265
